"Название","Тип","Размер","Дата изменения","Уровень вложенности","Полный абсолютный путь"
"heads","directory","0.09375 Kb","2020-03-07","4","./.git/logs/refs/heads"
"remotes","directory","0.09375 Kb","2020-03-07","4","./.git/logs/refs/remotes"
"master","file","1.7587890625 Kb","2020-05-26","5","./.git/logs/refs/heads/master"
"origin","directory","0.09375 Kb","2020-03-07","5","./.git/logs/refs/remotes/origin"
"master","file","1.4453125 Kb","2020-05-26","6","./.git/logs/refs/remotes/origin/master"
"commit-msg.sample","file","0.875 Kb","2020-03-07","3","./.git/hooks/commit-msg.sample"
"pre-rebase.sample","file","4.783203125 Kb","2020-03-07","3","./.git/hooks/pre-rebase.sample"
"pre-commit.sample","file","1.599609375 Kb","2020-03-07","3","./.git/hooks/pre-commit.sample"
"applypatch-msg.sample","file","0.466796875 Kb","2020-03-07","3","./.git/hooks/applypatch-msg.sample"
"fsmonitor-watchman.sample","file","3.2490234375 Kb","2020-03-07","3","./.git/hooks/fsmonitor-watchman.sample"
"pre-receive.sample","file","0.53125 Kb","2020-03-07","3","./.git/hooks/pre-receive.sample"
"prepare-commit-msg.sample","file","1.45703125 Kb","2020-03-07","3","./.git/hooks/prepare-commit-msg.sample"
"post-update.sample","file","0.1845703125 Kb","2020-03-07","3","./.git/hooks/post-update.sample"
"pre-applypatch.sample","file","0.4140625 Kb","2020-03-07","3","./.git/hooks/pre-applypatch.sample"
"pre-push.sample","file","1.31640625 Kb","2020-03-07","3","./.git/hooks/pre-push.sample"
"update.sample","file","3.525390625 Kb","2020-03-07","3","./.git/hooks/update.sample"
"heads","directory","0.09375 Kb","2020-05-26","3","./.git/refs/heads"
"tags","directory","0.0625 Kb","2020-03-07","3","./.git/refs/tags"
"remotes","directory","0.09375 Kb","2020-03-07","3","./.git/refs/remotes"
"master","file","0.0400390625 Kb","2020-05-26","4","./.git/refs/heads/master"
"origin","directory","0.09375 Kb","2020-05-26","4","./.git/refs/remotes/origin"
"master","file","0.0400390625 Kb","2020-05-26","5","./.git/refs/remotes/origin/master"
"settings.json","file","0.064453125 Kb","2020-05-26","2","./.vscode/settings.json"
"Huber.ipynb","file","82.8212890625 Kb","2020-04-26","2","./notebooks/Huber.ipynb"
"__init__.py","file","0.0 Kb","2020-05-14","2","./control/__init__.py"
"__pycache__","directory","0.1875 Kb","2020-05-19","2","./control/__pycache__"
".gitignore","file","0.0205078125 Kb","2020-05-14","2","./control/.gitignore"
"utils.py","file","1.794921875 Kb","2020-05-14","2","./control/utils.py"
"prof","directory","0.09375 Kb","2020-05-14","2","./control/prof"
"app.py","file","1.2607421875 Kb","2020-05-19","2","./control/app.py"
"tests.py","file","1.037109375 Kb","2020-05-19","2","./control/tests.py"
"tests.cpython-37.pyc","file","2.005859375 Kb","2020-05-19","3","./control/__pycache__/tests.cpython-37.pyc"
"app.cpython-37.pyc","file","1.8125 Kb","2020-05-19","3","./control/__pycache__/app.cpython-37.pyc"
"utils.cpython-37.pyc","file","1.689453125 Kb","2020-05-14","3","./control/__pycache__/utils.cpython-37.pyc"
"__init__.cpython-37.pyc","file","0.123046875 Kb","2020-05-14","3","./control/__pycache__/__init__.cpython-37.pyc"
"wrapper","file","6.53125 Kb","2020-05-19","3","./control/prof/wrapper"
